topic_id,topic_name,rank,keyword,weight
0,产品功能体验,1,华为,0.069963194
0,产品功能体验,2,手机,0.02915155
0,产品功能体验,3,苹果,0.015744286
0,产品功能体验,4,品牌,0.011058664
0,产品功能体验,5,系列,0.010180755
0,产品功能体验,6,不是,0.009470529
0,产品功能体验,7,喜欢,0.009313782
0,产品功能体验,8,拍照,0.008856037
0,产品功能体验,9,屏幕,0.008309303
0,产品功能体验,10,充电,0.008118338
0,产品功能体验,11,问题,0.0075889765
0,产品功能体验,12,流畅,0.0073969737
0,产品功能体验,13,后面,0.0072398605
0,产品功能体验,14,续航,0.0071828207
0,产品功能体验,15,就是,0.0071775587
0,产品功能体验,16,不到,0.007103803
0,产品功能体验,17,mate,0.0070364634
0,产品功能体验,18,小米,0.006999301
0,产品功能体验,19,产品,0.006990378
0,产品功能体验,20,游戏,0.006908837
1,品牌情感支持,1,华为,0.07576889
1,品牌情感支持,2,手机,0.023715084
1,品牌情感支持,3,现在,0.013072741
1,品牌情感支持,4,支持,0.012357897
1,品牌情感支持,5,就是,0.010409852
1,品牌情感支持,6,鸿蒙,0.0093552265
1,品牌情感支持,7,加油,0.008817461
1,品牌情感支持,8,系统,0.008393051
1,品牌情感支持,9,功能,0.00817467
1,品牌情感支持,10,还有,0.008131822
1,品牌情感支持,11,时候,0.0076712025
1,品牌情感支持,12,软件,0.007636192
1,品牌情感支持,13,视频,0.007109953
1,品牌情感支持,14,微信,0.0069360714
1,品牌情感支持,15,不是,0.0068250685
1,品牌情感支持,16,我们,0.0065197204
1,品牌情感支持,17,中国,0.006026346
1,品牌情感支持,18,他们,0.0059952894
1,品牌情感支持,19,国家,0.005919332
1,品牌情感支持,20,问题,0.0056382404
2,品牌竞争对比,1,苹果,0.052308872
2,品牌竞争对比,2,华为,0.050157856
2,品牌竞争对比,3,系统,0.021027396
2,品牌竞争对比,4,手机,0.017758975
2,品牌竞争对比,5,就是,0.016225673
2,品牌竞争对比,6,中国,0.012365441
2,品牌竞争对比,7,鸿蒙,0.012060958
2,品牌竞争对比,8,现在,0.011619434
2,品牌竞争对比,9,平板,0.011607638
2,品牌竞争对比,10,我们,0.010595302
2,品牌竞争对比,11,国产,0.01015071
2,品牌竞争对比,12,这么,0.009198303
2,品牌竞争对比,13,不是,0.008982095
2,品牌竞争对比,14,旗舰,0.007911859
2,品牌竞争对比,15,信号,0.007534037
2,品牌竞争对比,16,不会,0.0074570333
2,品牌竞争对比,17,三星,0.007257346
2,品牌竞争对比,18,性能,0.0066500194
2,品牌竞争对比,19,电脑,0.0064545968
2,品牌竞争对比,20,只是,0.0061117816
3,技术问题讨论,1,鸿蒙,0.03420256
3,技术问题讨论,2,我们,0.02959177
3,技术问题讨论,3,系统,0.019575046
3,技术问题讨论,4,华为,0.018860228
3,技术问题讨论,5,手机,0.013943725
3,技术问题讨论,6,就是,0.012478003
3,技术问题讨论,7,问题,0.011289008
3,技术问题讨论,8,芯片,0.010071324
3,技术问题讨论,9,麒麟,0.009857958
3,技术问题讨论,10,现在,0.009836629
3,技术问题讨论,11,其他,0.009544195
3,技术问题讨论,12,确实,0.008944391
3,技术问题讨论,13,适配,0.007982442
3,技术问题讨论,14,体验,0.007917966
3,技术问题讨论,15,不能,0.007904346
3,技术问题讨论,16,东西,0.0074846977
3,技术问题讨论,17,很多,0.007053173
3,技术问题讨论,18,价格,0.006848881
3,技术问题讨论,19,需要,0.0064599146
3,技术问题讨论,20,缺点,0.0059046466
